Algorithm,Size,Start,End,RuntimeSec,Path_Cost,Memory_MB
A_Star,71,"(17, 11)","(58, 62)",0.009332895278930664,92.0,0.5
A_Star,12,"(1, 1)","(1, 3)",7.176399230957031e-05,2.0,0.5
A_Star,106,"(26, 16)","(79, 105)",0.02236151695251465,142.0,0.5
A_Star,74,"(16, 18)","(56, 71)",0.008501052856445312,93.0,0.5
A_Star,146,"(118, 59)","(94, 39)",0.006499767303466797,44.0,0.5
A_Star,66,"(7, 7)","(49, 49)",0.009367227554321289,84.0,0.5
A_Star,140,"(25, 0)","(135, 107)",0.04088258743286133,217.0,0.5
A_Star,974,"(31, 38)","(908, 954)",4.869045734405518,1793.0,0.5
A_Star,977,"(0, 4)","(904, 949)",5.4392194747924805,1849.0,0.5
A_Star,992,"(13, 20)","(933, 902)",4.796713352203369,1802.0,0.5
A_Star,692,"(56, 7)","(657, 650)",2.208120584487915,1244.0,0.5
A_Star,154,"(12, 13)","(142, 141)",0.05356740951538086,258.0,0.5
A_Star,980,"(21, 32)","(959, 902)",4.3644163608551025,1808.0,0.5
A_Star,674,"(14, 3)","(640, 610)",1.5997178554534912,1233.0,0.5
A_Star,854,"(75, 34)","(830, 822)",3.1952011585235596,1543.0,0.5
A_Star,478,"(23, 11)","(437, 432)",0.6336629390716553,835.0,0.5
A_Star,229,"(3, 4)","(217, 225)",0.12296748161315918,435.0,0.5
A_Star,102,"(7, 7)","(100, 97)",0.0194854736328125,183.0,0.5
A_Star,150,"(8, 15)","(137, 148)",0.0452730655670166,262.0,0.5
A_Star,368,"(28, 21)","(347, 332)",0.36590051651000977,630.0,0.5
A_Star,996,"(44, 32)","(984, 988)",4.433904647827148,1896.0,0.5
A_Star,234,"(15, 2)","(229, 228)",0.09900808334350586,440.0,0.5
A_Star,926,"(31, 87)","(924, 839)",4.166931390762329,1645.0,0.5
A_Star,570,"(33, 22)","(549, 564)",0.9748640060424805,1058.0,0.5
A_Star,676,"(6, 46)","(641, 666)",1.728135108947754,1255.0,0.5
A_Star,915,"(49, 58)","(832, 831)",3.6000866889953613,1556.0,0.5
A_Star,281,"(1, 13)","(254, 280)",0.23158550262451172,520.0,0.5
A_Star,659,"(7, 13)","(652, 656)",1.563201904296875,1288.0,0.5
A_Star,782,"(70, 53)","(709, 744)",2.2965731620788574,1330.0,0.5
A_Star,373,"(34, 11)","(339, 372)",0.3874549865722656,666.0,0.5
A_Star,431,"(38, 34)","(400, 423)",0.5711219310760498,751.0,0.5
A_Star,995,"(47, 18)","(954, 947)",4.576952695846558,1836.0,0.5
A_Star,197,"(9, 16)","(187, 181)",0.07683944702148438,343.0,0.5
A_Star,487,"(19, 32)","(470, 464)",0.6551318168640137,883.0,0.5
A_Star,444,"(31, 15)","(400, 429)",0.5790252685546875,783.0,0.5
A_Star,973,"(16, 5)","(970, 953)",4.401793956756592,1902.0,0.5
A_Star,363,"(9, 16)","(335, 345)",0.33886146545410156,655.0,0.5
A_Star,498,"(38, 27)","(470, 472)",0.7413797378540039,877.0,0.5
A_Star,576,"(3, 34)","(542, 554)",1.168919563293457,1059.0,0.5
A_Star,105,"(0, 4)","(101, 97)",0.020493030548095703,194.0,0.5
A_Star,322,"(14, 17)","(316, 292)",0.2555077075958252,577.0,0.5
A_Star,985,"(16, 19)","(918, 921)",4.447798728942871,1804.0,0.5
A_Star,206,"(7, 5)","(190, 203)",0.10391783714294434,381.0,0.5
A_Star,514,"(2, 11)","(498, 489)",0.8754379749298096,974.0,0.5
A_Star,331,"(8, 25)","(325, 313)",0.24045324325561523,605.0,0.5
A_Star,193,"(6, 14)","(184, 180)",0.0867927074432373,344.0,0.5
A_Star,474,"(35, 21)","(465, 466)",0.7083280086517334,875.0,0.5
