node_id,x,y
154777805,-82.4331995,38.4212164
154777807,-82.4314931,38.4215156
154777809,-82.4297287,38.4218193
154777811,-82.4276779,38.422177
154777813,-82.4259729,38.4224756
154777814,-82.4242171,38.4227795
154777816,-82.4225607,38.4230689
154777817,-82.4208547,38.4233636
154777819,-82.41915,38.4236627
154777822,-82.4156396,38.4242738
154777825,-82.413971,38.4245651
154777833,-82.4122627,38.4248606
154777835,-82.4088502,38.4254542
154777843,-82.4054438,38.4260487
154777845,-82.4020367,38.4266431
154777847,-82.3986235,38.427238
154777849,-82.3952117,38.4278255
154777851,-82.3937421,38.4280752
154777856,-82.3926222,38.428281
154777862,-82.3904856,38.4281598
154777864,-82.3890951,38.4279621
154777866,-82.3876729,38.4277478
154777870,-82.3862857,38.4275407
154777872,-82.3848917,38.4273363
154777874,-82.383156,38.4270764
154777885,-82.3822991,38.4269278
154777889,-82.3814381,38.4268143
154777895,-82.3805979,38.4268905
154777897,-82.3801044,38.4269729
154777908,-82.3784119,38.4272015
154777915,-82.3763701,38.4279689
154777918,-82.3757438,38.4282148
154777926,-82.3725358,38.4293846
154777933,-82.3617299,38.417067
154777946,-82.447615,38.4213508
154777948,-82.4458978,38.4216529
154777950,-82.4441875,38.4219331
154777952,-82.4424872,38.4222239
154777954,-82.4407965,38.4225197
154777959,-82.4372944,38.4231785
154777962,-82.4356162,38.42344
154777964,-82.4339134,38.4237367
154777966,-82.4322001,38.4240318
154777970,-82.4283738,38.424698
154777972,-82.4266776,38.424995
154777975,-82.424979,38.425293
154777978,-82.4232711,38.4255916
154777979,-82.4215536,38.4258884
154777980,-82.4198623,38.426182
154777983,-82.416365,38.4267944
154777985,-82.4153622,38.426967
154777986,-82.4129719,38.4273796
154777992,-82.4112653,38.4276764
154777995,-82.4095545,38.4279747
154777999,-82.4061534,38.4285681
154778002,-82.4027375,38.4291609
154778005,-82.4018885,38.4293079
154778009,-82.3993248,38.4297559
154778013,-82.3959202,38.4303466
154778015,-82.394439,38.4305953
154778020,-82.3942302,38.430628
154778032,-82.3926028,38.4304126
154778045,-82.4579173,38.419551
154778047,-82.4562096,38.4198438
154778049,-82.4545725,38.4201373
154778053,-82.4543627,38.4201746
154778055,-82.4527292,38.4204609
154778060,-82.3813288,38.4293606
154778067,-82.3804054,38.4296373
154778071,-82.3794499,38.4298049
154778074,-82.3784917,38.4299519
154778076,-82.3775308,38.4300958
154778078,-82.3765699,38.4302422
154778080,-82.3756064,38.4303879
154778082,-82.3746504,38.4305325
154778104,-82.4211393,38.402389
154778106,-82.4211494,38.4022579
154778188,-82.4166152,38.4000436
154778191,-82.4163678,38.3997357
154778215,-82.4157071,38.4013092
154778292,-82.4206889,38.4002995
154778358,-82.4042919,38.4139136
154778364,-82.4029514,38.4113874
154778770,-82.4182169,38.4044211
154778773,-82.4174058,38.4040006
154778783,-82.4159165,38.4038624
154778798,-82.4138063,38.4044415
154778988,-82.3858771,38.402145
154779000,-82.3867546,38.3995421
154779245,-82.4059186,38.4117573
154779262,-82.4107912,38.4156223
154779275,-82.4120231,38.4174994
154779277,-82.4123873,38.4188398
154779278,-82.4125604,38.4195216
154779280,-82.4127409,38.4201956
154779287,-82.4139579,38.430908
154779289,-82.4136724,38.4298767
154779291,-82.4133215,38.4286296
154779294,-82.4126088,38.42611
154779296,-82.4121197,38.424397
154779389,-82.3903444,38.4153006
154779433,-82.4623783,38.4004495
154779512,-82.4334535,38.4066449
154780335,-82.4066756,38.4271386
154780383,-82.4168842,38.4029864
154780385,-82.4170082,38.4021966
154780387,-82.4170391,38.4019934
154780391,-82.4136394,38.4056821
154780411,-82.416054,38.4047867
154780414,-82.41604,38.4046545
154780550,-82.4076217,38.4071486
154780559,-82.4074939,38.4004603
154780801,-82.3862225,38.4042244
154781954,-82.3961842,38.4269908
154781956,-82.395964,38.4262359
154781958,-82.3955693,38.4248654
154781960,-82.3953554,38.4240889
154782213,-82.3884762,38.4304786
154782215,-82.3870837,38.4302702
154782217,-82.3856934,38.4300722
154782225,-82.3822119,38.4300171
154782526,-82.394076,38.4315083
154782527,-82.3941357,38.4311086
154782532,-82.3996912,38.4336546
154782534,-82.3988376,38.433269
154782536,-82.3960494,38.4320935
154782543,-82.3942027,38.4315504
154782551,-82.3992708,38.4323451
154782563,-82.4253079,38.426477
154782565,-82.4251267,38.4258292
154782572,-82.4207349,38.4115099
154782574,-82.420608,38.4110873
154782580,-82.4206104,38.410408
154782583,-82.422387,38.4161782
154782584,-82.4221463,38.4153362
154782586,-82.4219084,38.4144913
154782588,-82.4216471,38.4135537
154782590,-82.4213943,38.4123699
154782601,-82.4212186,38.4114205
154782608,-82.4239903,38.4219859
154782610,-82.4238182,38.4213665
154782612,-82.4236413,38.4207412
154782614,-82.423467,38.4201101
154782615,-82.4233684,38.4197724
154782619,-82.4230355,38.4183961
154782621,-82.4228481,38.417729
154782623,-82.4226457,38.4170623
154782682,-82.4483572,38.3999469
154782737,-82.4494871,38.3993878
154782803,-82.4511661,38.400164
154782813,-82.4489819,38.4198941
154782815,-82.4482241,38.4171653
154782817,-82.4478494,38.4158288
154782819,-82.4476518,38.4150978
154782824,-82.3599875,38.4161709
154782838,-82.4473779,38.4141603
154782839,-82.447004,38.4128218
154782841,-82.446625,38.4114805
154782843,-82.446245,38.4101404
154782845,-82.445492,38.4074524
154782847,-82.4452116,38.4064734
154783115,-82.4034885,38.4073735
154783117,-82.40214,38.4071472
154783123,-82.4010571,38.4069763
154783154,-82.3977869,38.4072488
154783156,-82.3979585,38.406763
154783209,-82.3896571,38.4018283
154783211,-82.3896893,38.401324
154783213,-82.3897363,38.4006731
154783298,-82.4047948,38.4131964
154783323,-82.405977,38.4136246
154783407,-82.3952924,38.408612
154783409,-82.3948833,38.4083998
154783472,-82.3942463,38.4031955
154783480,-82.3972443,38.4098153
154783481,-82.3969379,38.4091611
154783520,-82.3828851,38.4259969
154783532,-82.3843557,38.4249247
154783537,-82.3851409,38.4231733
154783543,-82.3854829,38.4231155
154783547,-82.3999406,38.4014488
